"","","Page Name","Page ID","Democrats","Republicans","Candidates Mentioned+","Approx. Spend on Mentions^","# of Ads Mentioning","Sponsor Name(s)","Candidate Page","Approx. Democrat Spend","Approx. Republican Spend"
"11","⊕","Democratic Strategy Institute","101279451606075","0.16","0.84","Donald Trump (1231), Mitch McConnell* (433), Amy McGrath* (196), Joseph Biden (128), Lindsey Graham* (86), Susan Collins* (45), Doug Collins* (6)","$1,795,198","2,125","DEMOCRATIC STRATEGY INSTITUTE","0","$294,802","$1,500,396"
"12","⊕","The Lincoln Project","105756057589080","0.13","0.87","Donald Trump (833), Joseph Biden (122), Mitch McConnell* (20), Martha McSally* (5), Susan Collins* (3), Cory Gardner* (2), Al Gross* (1), Joni Ernst* (1), Steve Bullock* (1), Thom Tillis* (1)","$2,323,561","989","THE LINCOLN PROJECT","0","$294,031","$2,027,140"
"13","⊕","The Real Steve Bullock","113437503753889","1","0","Steve Bullock* (94), Dylan Billings* (2)","$254,834","96","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$254,834","$0"
"14","⊕","Brad Parscale","1745691098822972","0.23","0.77","Donald Trump (5355), Joseph Biden (1569)","$1,071,216","6,924","TRUMP, DONALD J.","1","$242,741","$828,475"
"15","⊕","Steve Daines","176789922364429","0.12","0.88","Steve Daines* (3669), Steve Bullock* (486), Donald Trump (366), Lindsey Graham* (67), Mitch McConnell* (31), Tom Cotton* (22), Ben Sasse* (14), Joseph Biden (6)","$2,005,844","4,661","DAINES, STEVE","1","$234,619","$1,771,225"
"16","⊕","One North Carolina","111201130682281","0.35","0.65","Thom Tillis* (50), Cal Cunningham* (27)","$623,728","77","PRIORITIES USA ACTION; SENATE MAJORITY PAC","0","$218,710","$405,018"
"17","⊕","United Research Group","101181794707874","0.26","0.74","Donald Trump (9444), Joseph Biden (3308)","$828,485","12,752","NA","0","$214,918","$613,567"
"18","⊕","Uniting Missouri","2246364628908665","1","0","Joseph Biden (3)","$214,466","3","NA","0","$214,466","$0"
"19","⊕","Republican Voters Against Trump","114625730266879","0.04","0.96","Donald Trump (1201), Joseph Biden (56), Lindsey Graham* (8)","$4,580,696","1,265","REPUBLICAN VOTERS AGAINST TRUMP","0","$204,072","$4,376,624"
"20","⊕","Sara Gideon Facts","107609657630105","0.99","0.01","Sara Gideon* (2930), Susan Collins* (24)","$205,644","2,954","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$203,973","$1,671"
"21","⊕","Big Money Mark Kelly","107038924352529","0.98","0.02","Mark Kelly* (111), Joseph Biden (10), Donald Trump (2)","$206,195","123","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$202,546","$3,649"
"22","⊕","Cory Gardner","257019421075897","0.92","0.08","Cory Booker* (617), John Hickenlooper* (32), Tom Cotton* (21), Donald Trump (17), Lindsey Graham* (9), Mitch McConnell* (6)","$208,765","702","GARDNER, CORY","1","$192,251","$16,514"
"23","⊕","Public Opinion Research Group","643463669628493","0.38","0.62","Donald Trump (6992), Joseph Biden (4249)","$495,985","11,241","NA","0","$187,478","$308,507"
"24","⊕","John W. Hickenlooper","97493741436","0.38","0.62","Cory Gardner* (1829), Cory Booker* (1408), Mitch McConnell* (667), Donald Trump (494), Joseph Biden (20), John Love III* (15), Martha McSally* (2)","$438,811","4,435","HICKENLOOPER, JOHN W.","1","$166,633","$272,178"
"25","⊕","Four Is Enough","101183127996396","0.27","0.73","Donald Trump (3407), Joseph Biden (1280), Ben Sasse* (13), Mitch McConnell* (4)","$591,515","4,704","PACRONYM","0","$161,540","$429,975"
"26","⊕","Reverend Raphael Warnock","109111900634787","0.33","0.67","Mitch McConnell* (774), Joseph Biden (303), Donald Trump (289), Cory Booker* (124), Kelly Loeffler* (111), Mark Kelly* (110), Amy McGrath* (24), Sara Gideon* (24), Doug Collins* (1)","$478,637","1,760","WARNOCK, RAPHAEL","1","$157,604","$321,033"
"27","⊕","Yahoo News","338028696036","0.75","0.25","Joseph Biden (3), Donald Trump (1)","$197,211","4","NA","0","$147,908","$49,303"
"28","⊕","Nicole Galloway","149366465128820","0.67","0.33","Joseph Biden (28), Donald Trump (14)","$214,623","42","NA","0","$143,082","$71,541"
"29","⊕","United for Massachusetts","111991893873039","1","0","Edward Markey* (25)","$142,837","25","UNITED FOR MASSACHUSETTS","0","$142,837","$0"
"30","⊕","Maine Together","105594977748727","0.51","0.49","Sara Gideon* (57), Donald Trump (55), Susan Collins* (55)","$270,469","167","PRIORITIES USA ACTION; SENATE MAJORITY PAC","0","$137,649","$132,820"
"31","⊕","Unite for Colorado","109097990639753","1","0","John Hickenlooper* (189)","$135,797","189","UNITE FOR COLORADO","0","$135,797","$0"
"32","⊕","Flip the Senate","110018833813683","0.45","0.55","Mitch McConnell* (994), Steve Bullock* (872), Susan Collins* (699), Steve Daines* (548), Donald Trump (486), Mark Kelly* (327), Sara Gideon* (285), Martha McSally* (243), Amy McGrath* (238), Lindsey Graham* (188), Joseph Biden (185), Cal Cunningham* (177), Jaime R. Harrison* (126), Thom Tillis* (41), Doug Jones* (24), Cory Booker* (15), Cory Gardner* (15), Joni Ernst* (15), Kelly Loeffler* (15), John Hickenlooper* (14), Doug Collins* (3)","$288,514","5,510","SENATE MAJORITY PAC","0","$128,609","$159,905"
"33","⊕","The Presidential Coalition","242077219243971","0.69","0.31","Donald Trump (90), Tina Smith* (60), Doug Jones* (56), Gary Peters* (53), Jeanne Shaheen* (36)","$177,949","295","PRESIDENTIAL COALITION","0","$123,659","$54,290"
"34","⊕","Mitch McConnell","259130650776119","0.13","0.87","Donald Trump (424), Amy McGrath* (47), Charles Booker* (18), John Cornyn* (10)","$945,008","499","MCCONNELL, MITCH","1","$123,097","$821,911"
"35","⊕","Charles Booker","305380096638473","0.13","0.87","Mitch McConnell* (1439), Amy McGrath* (129), Matt Jones* (80), Donald Trump (78)","$928,382","1,726","BOOKER FOR KENTUCKY LTD, BOOKER, CHARLES, CBEC, CHARLES BOOKER, CHARLES BOOKER FOR STATE REPRESENTATIVE. EARLETTA HEARN, TREASURER.","1","$117,738","$810,644"
"36","⊕","Let's Turn Colorado Blue","102846334816672","1","0","Andrew Romanoff* (42)","$110,545","42","LET'S TURN COLORADO BLUE","0","$110,545","$0"
"37","⊕","Team Collins","103801844298982","0.96","0.04","Sara Gideon* (94), Doug Collins* (3), Betsy Sweet* (1), Donald Trump (1)","$114,900","99","COLLINS, SUSAN M.","1","$110,210","$4,690"
"38","⊕","Women for Trump","706716899745696","0.13","0.87","Donald Trump (5159), Joseph Biden (783)","$792,091","5,942","TRUMP, DONALD J.","1","$104,377","$687,714"
"39","⊕","The 'Gander Newsroom","110746996993983","0.42","0.58","Donald Trump (124), Donald Trump (124), Joseph Biden (89)","$248,036","337","COURIER NEWSROOM","0","$103,639","$144,397"
"40","⊕","The 'Gander Newsroom","110746996993983","0.42","0.58","Donald Trump (30), Donald Trump (30)","$248,036","60","COURIER NEWSROOM","0","$103,639","$144,397"
"41","⊕","CFG Action","700806360047982","0.35","0.65","Donald Trump (293), Joseph Biden (156), Robert Marshall* (9)","$276,444","458","CLUB FOR GROWTH ACTION","0","$96,047","$180,397"
"42","⊕","Joni Ernst","586751814690068","0.69","0.31","Theresa Greenfield* (84), Donald Trump (25), Martha McSally* (9), John Cornyn* (4)","$139,120","122","ERNST, JONI K, JOBS OPPORTUNITY AND NEW IDEAS PAC","1","$95,788","$43,332"
"43","⊕","Hollywood Jon Ossoff","107867817669170","1","0","Jon Ossoff* (25)","$94,270","25","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$94,270","$0"
"44","⊕","Texas Oil and Gas Association","750053788435485","1","0","Steve Bullock* (1)","$85,557","1","NA","0","$85,557","$0"
"45","⊕","UpNorthNews","102540204580217","0.36","0.64","Donald Trump (158), Joseph Biden (90)","$232,018","248","NA","0","$84,200","$147,818"
"46","⊕","Martha McSally","278490715553293","0.72","0.28","Mark Kelly* (799), Donald Trump (244), Joseph Biden (73), Lindsey Graham* (61), John Cornyn* (6)","$111,988","1,183","MCSALLY, MARTHA","1","$80,696","$31,292"
"47","⊕","Better Future Michigan","1316423028507925","1","0","Gary Peters* (33)","$80,661","33","BETTER FUTURE MICHIGAN","0","$80,661","$0"
"48","⊕","Fire Mitch. Save America.","101591551371555","0.27","0.73","Mitch McConnell* (975), Amy McGrath* (357), Donald Trump (35), Charles Booker* (9)","$281,868","1,376","SAVE AMERICA FUND","0","$74,704","$207,164"
"49","⊕","Lindsey Graham","165987503528599","0.39","0.61","Donald Trump (201), Jaime R. Harrison* (122), Joseph Biden (8), Steve Daines* (1)","$190,399","332","GRAHAM, LINDSEY O.","1","$74,554","$115,845"
"50","⊕","Profiteering Peters","110051514050443","1","0","Gary Peters* (817)","$67,582","817","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$67,582","$0"
"51","⊕","Dems For USA","101127364972509","0.98","0.02","Joseph Biden (98), Donald Trump (2)","$65,581","100","NA","0","$64,269","$1,312"
"52","⊕","314 Action","605168822998856","0.44","0.56","Mark Kelly* (200), Mitch McConnell* (168), Martha McSally* (142), Donald Trump (111), Amy McGrath* (36), Barbara Bollier* (21), Kris Kobach* (17), Betsy Sweet* (13), Joseph Biden (11), John Hickenlooper* (10), Cory Gardner* (6)","$145,215","735","314 ACTION, 314 ACTION FUND","0","$63,459","$81,756"
"53","⊕","Senate Leadership Fund","1576552839287418","0.9","0.08","Theresa Greenfield* (215), Jon Ossoff* (181), Cal Cunningham* (150), Steve Bullock* (69), John Hickenlooper* (33), Barbara Bollier* (27), Robert Marshall* (25), Sara Gideon* (24), Donald Trump (23), Susan Collins* (21), Al Gross* (12), Doug Collins* (9), Cory Booker* (4), Cory Gardner* (4), Joni Ernst* (4), Martha McSally* (4), Mitch McConnell* (4), Thom Tillis* (4)","$70,091","813","SENATE LEADERSHIP FUND","0","$63,091","$5,923"
"54","⊕","Unite the Country","104684067632334","0.84","0.16","Joseph Biden (412), Donald Trump (77)","$71,826","489","UNITE THE COUNTRY","0","$60,516","$11,310"
"55","⊕","Evangelicals for Trump","100560711450721","0.15","0.85","Donald Trump (2641), Joseph Biden (468)","$399,913","3,109","TRUMP, DONALD J.","1","$60,199","$339,714"
"56","⊕","The FYI","105390141285230","0.31","0.69","Donald Trump (1085), Joseph Biden (481), Jeff Sessions* (36)","$186,744","1,602","NA","0","$57,359","$129,385"
"57","⊕","American Herald","102781694834193","0.96","0.04","Joseph Biden (454), Donald Trump (20)","$59,298","474","AMERICA FIRST ACTION","0","$56,796","$2,502"
"58","⊕","John Cornyn","355316521236121","0.36","0.64","Donald Trump (458), Joseph Biden (200), Royce West* (94), Joni Ernst* (64), M.J. Hegar* (6)","$154,424","822","CORNYN, JOHN SEN","1","$56,359","$98,065"
"59","⊕","Katrina Pierson","147542771956309","0.42","0.58","Donald Trump (690), Joseph Biden (493)","$126,684","1,183","TRUMP, DONALD J.","1","$52,794","$73,890"
"60","⊕","The Copper Courier","344690446467832","0.17","0.83","Martha McSally* (426), Donald Trump (202), Joseph Biden (107), Mitch McConnell* (41), Mark Kelly* (24)","$301,583","800","COURIER NEWSROOM","0","$52,606","$248,977"
"61","⊕","Nancy Pelosi","1711465445765878","0.14","0.86","Donald Trump (138), Mitch McConnell* (59), Joseph Biden (30)","$344,920","227","PELOSI, NANCY","1","$49,988","$294,932"
"62","⊕","Susan Collins","419237048158257","0.76","0.24","Sara Gideon* (113), Doug Collins* (17), John Cornyn* (12), Martha McSally* (6)","$63,153","148","COLLINS, SUSAN M.","1","$48,218","$14,935"
"63","⊕","Cardinal & Pine","106487520883333","0.27","0.73","Donald Trump (205), Thom Tillis* (129), Joseph Biden (108), Mitch McConnell* (17), Cal Cunningham* (10)","$175,290","469","COURIER NEWSROOM","0","$47,880","$127,410"
"64","⊕","Keep Kentucky Great","105415064625532","1","0","Amy McGrath* (134)","$47,815","134","KEEP KENTUCKY GREAT","0","$47,815","$0"
"65","⊕","The Keystone","114971076538782","0.41","0.59","Donald Trump (182), Joseph Biden (125)","$111,899","307","COURIER NEWSROOM","0","$45,561","$66,338"
"66","⊕","Ditch Mitch","2283535575207809","0.45","0.54","Mitch McConnell* (263), Amy McGrath* (221), Donald Trump (9), BARRON, STEPHEN BRADLEY (2)","$98,772","495","DITCH FUND","0","$44,915","$53,451"
"67","⊕","Brave New Look","1136781033034012","1","0","Joseph Biden (21)","$44,688","21","NA","0","$44,688","$0"
"68","⊕","One For All Committee","106438637853917","1","0","Joseph Biden (4)","$43,744","4","NA","0","$43,744","$0"
"69","⊕","SEIU Virginia","109042030853888","0.81","0.19","Joseph Biden (82), Donald Trump (16), Scott Taylor* (3)","$53,336","101","NA","0","$43,302","$10,034"
"70","⊕","Ed Markey","303167829786891","0.86","0.14","Joseph Kennedy III* (404), Mitch McConnell* (62), Donald Trump (20)","$49,825","486","MARKEY, EDWARD J. SEN.","1","$42,920","$6,905"
"71","⊕","Working People's Platform","108385597553152","0.78","0.22","Joseph Biden (115), Donald Trump (32)","$51,994","147","NA","0","$40,676","$11,318"
"72","⊕","Latinos for Trump","612701059241880","0.13","0.87","Donald Trump (4532), Joseph Biden (706)","$287,565","5,238","TRUMP, DONALD J.","1","$38,759","$248,806"
"73","⊕","Iowa Values Action PAC","102725661524802","1","0","Theresa Greenfield* (6)","$37,992","6","IOWA VALUES ACTION","0","$37,992","$0"
"74","⊕","VoteVets.org","8501031021","0.24","0.76","Donald Trump (402), Amy McGrath* (84), Mitch McConnell* (84), Cal Cunningham* (33), M.J. Hegar* (27), Doug Jones* (18), Joseph Biden (6), John Cornyn* (4), Mark Kelly* (4), Thom Tillis* (4), Martha McSally* (2)","$148,820","668","VOTE VETS ACTION FUND, VOTEVETS","0","$35,823","$112,997"
"75","⊕","House Majority PAC","228754857151053","0.08","0.92","Donald Trump (561), Mitch McConnell* (68), Joseph Biden (51), Lindsey Graham* (19), Susan Collins* (19), Scott Taylor* (3)","$460,701","721","HOUSE MAJORITY PAC","0","$35,332","$425,369"
"76","⊕","Promises Made Promises Kept","101654774973359","0.36","0.64","Donald Trump (2393), Joseph Biden (1369)","$95,487","3,762","TRUMP, DONALD J.","1","$34,748","$60,739"
"77","⊕","Better Future MI Fund","105685237720076","1","0","Gary Peters* (17)","$31,591","17","BETTER FUTURE MI FUND","0","$31,591","$0"
"78","⊕","SEIU PA State Council","152561628240904","0.88","0.12","Joseph Biden (118), Donald Trump (16)","$35,701","134","NA","0","$31,438","$4,263"
"79","⊕","Elect Black Democrats","104170004713256","0.57","0.43","Donald Trump (39), Jaime R. Harrison* (35), Lindsey Graham* (16), Joseph Biden (15), Cory Booker* (8)","$53,741","113","THE COLLECTIVE PAC","0","$30,861","$22,880"
"80","⊕","Forward Arizona","101591204987294","0.11","0.89","Martha McSally* (68), Mark Kelly* (8)","$276,557","76","PRIORITIES USA ACTION; SENATE MAJORITY PAC","0","$29,111","$247,446"
"81","⊕","Hiding Hickenlooper","108488067565712","1","0","John Hickenlooper* (17)","$29,081","17","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$29,081","$0"
"82","⊕","Judith Zaffirini, Texas State Senator","136228706459687","1","0","John Love III* (5)","$28,772","5","NA","0","$28,772","$0"
"83","⊕","Kamala Harris","24413227922","0.61","0.39","Joseph Biden (931), Donald Trump (604), Mitch McConnell* (114), Jeff Sessions* (64)","$46,902","1,713","HARRIS, KAMALA D.","1","$28,447","$18,455"
"84","⊕","Straight Talk Politics PAC","109218834086358","1","0","John Hickenlooper* (5)","$27,819","5","STRAIGHT TALK POLITICS PAC","0","$27,819","$0"
"85","⊕","Minnesotans for Line 3","435917576827538","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$54,286","2","NA","0","$27,143","$27,143"
"86","⊕","No on Prop 22","110026044048401","1","0","Joseph Biden (95), Joseph Biden (95)","$26,898","190","SLAM THE BRAKES ON UBER, LYFT, DOORDASH, INSTACART & POSTMATES, NO ON THEIR MISGUIDED MEASURE, SPONSORED BY LABOR ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM: TRANSPORT WORKERS UNION OF AMERICA, CALIFORNIA LABOR FEDERATION, AFL-CIO, AND SEIU CALIFORNIA STATE COUNCIL.","0","$26,898","$0"
"87","⊕","No on Prop 22","110026044048401","1","0","Joseph Biden (5), Joseph Biden (5)","$26,898","10","SLAM THE BRAKES ON UBER, LYFT, DOORDASH, INSTACART & POSTMATES, NO ON THEIR MISGUIDED MEASURE, SPONSORED BY LABOR ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM: TRANSPORT WORKERS UNION OF AMERICA, CALIFORNIA LABOR FEDERATION, AFL-CIO, AND SEIU CALIFORNIA STATE COUNCIL.","0","$26,898","$0"
"88","⊕","Slam The Brakes","110026044048401","1","0","Joseph Biden (95), Joseph Biden (95)","$26,898","190","SLAM THE BRAKES ON UBER, LYFT, DOORDASH, INSTACART & POSTMATES, NO ON THEIR MISGUIDED MEASURE, SPONSORED BY LABOR ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM: TRANSPORT WORKERS UNION OF AMERICA, CALIFORNIA LABOR FEDERATION, AFL-CIO, AND SEIU CALIFORNIA STATE COUNCIL.","0","$26,898","$0"
"89","⊕","Slam The Brakes","110026044048401","1","0","Joseph Biden (5), Joseph Biden (5)","$26,898","10","SLAM THE BRAKES ON UBER, LYFT, DOORDASH, INSTACART & POSTMATES, NO ON THEIR MISGUIDED MEASURE, SPONSORED BY LABOR ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM: TRANSPORT WORKERS UNION OF AMERICA, CALIFORNIA LABOR FEDERATION, AFL-CIO, AND SEIU CALIFORNIA STATE COUNCIL.","0","$26,898","$0"
"90","⊕","Congressional Black Caucus PAC","236369846383459","0.22","0.78","Donald Trump (349), Lindsey Graham* (127), Jaime R. Harrison* (89), Mitch McConnell* (38), Joseph Biden (12), Cory Booker* (10)","$123,501","625","CONGRESSIONAL BLACK CAUCUS PAC","0","$26,619","$96,882"
"91","⊕","Boost the News","248833449184369","0.3","0.7","Donald Trump (2905), Joseph Biden (1217), Jeff Sessions* (47), Amanda Edwards* (36)","$86,204","4,205","NA","0","$25,977","$60,227"
"92","⊕","Joe Biden for Wisconsin","437400020507592","1","0","Joseph Biden (16)","$25,890","16","BIDEN, JOSEPH R JR","1","$25,890","$0"
"93","⊕","RootsAction","170004579701070","0.47","0.53","Donald Trump (66), Joseph Biden (59)","$54,618","125","NA","0","$25,780","$28,838"
"94","⊕","NextGen America","571182609571332","0.45","0.55","Donald Trump (1301), Joseph Biden (794), Sara Gideon* (90), Cal Cunningham* (75), Mark Kelly* (72), Theresa Greenfield* (21), Joni Ernst* (6), Martha McSally* (6), Susan Collins* (6), Thom Tillis* (6), Doug Collins* (3)","$54,983","2,380","NEXTGEN AMERICA","0","$24,582","$30,401"
"95","⊕","AFP Action","1155212867963791","0.12","0.88","Thom Tillis* (211), David Perdue* (168), Steve Daines* (125), John Cornyn* (103), Cal Cunningham* (33), Steve Bullock* (20), Jon Ossoff* (18), Cory Gardner* (16), M.J. Hegar* (9), Robert Marshall* (7), John James* (5), Cory Booker* (4), Daniel McCarthy* (2)","$210,658","721","AMERICANS FOR PROSPERITY ACTION","0","$24,543","$186,115"
"96","⊕","Hard Left Hegar","106137634571035","0.5","0.5","John Cornyn* (18), M.J. Hegar* (18)","$48,551","36","TEXANS FOR A CONSERVATIVE MAJORITY","0","$24,276","$24,276"
"97","⊕","Matt Lieberman","111702860231554","0.47","0.53","Kelly Loeffler* (651), Mark Kelly* (651), Susan Collins* (350), Doug Collins* (341), Donald Trump (243), Kandiss Taylor* (24), Scott Taylor* (24), David Perdue* (7), Lindsey Graham* (7), Joseph Biden (5), Mitch McConnell* (4)","$51,594","2,307","LIEBERMAN, MATTHEW","1","$24,141","$27,453"
"98","⊕","A Stronger Financial Michigan","110406740562562","1","0","Gary Peters* (6)","$23,757","6","NA","0","$23,757","$0"
"99","⊕","Defend Your Police","100926135067368","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$46,173","2","NA","0","$23,086","$23,086"
"100","⊕","Biden for Wisconsin","105993567885941","1","0","Joseph Biden (14)","$23,063","14","BIDEN, JOSEPH R JR","1","$23,063","$0"
"101","⊕","Biden for WI","438007310446785","1","0","Joseph Biden (13)","$22,952","13","BIDEN, JOSEPH R JR","1","$22,952","$0"
"102","⊕","Meg Loughran Cappel For IL State Senate 49th","111111360297173","1","0","Steve Bullock* (1)","$22,560","1","NA","0","$22,560","$0"
"103","⊕","Joe Biden for WI","104940277994339","1","0","Joseph Biden (13)","$22,093","13","BIDEN, JOSEPH R JR","1","$22,093","$0"
"104","⊕","Newsmax","85452072376","0.35","0.65","Donald Trump (123), Joseph Biden (65)","$62,858","188","NEWSMAX MEDIA","0","$21,733","$41,125"
"105","⊕","Jason Lewis","130467958471","0.33","0.67","Donald Trump (127), Tina Smith* (56), Joseph Biden (6)","$65,276","189","LEWIS, JASON, LEWIS, JASON MARK MR.","1","$21,413","$43,863"
"106","⊕","Tommy Tuberville","2225580284361712","0.28","0.72","Tommy Tuberville* (566), Doug Jones* (218), Jeff Sessions* (217), Donald Trump (77)","$76,309","1,078","TUBERVILLE, TOMMY","1","$21,219","$55,090"
"107","⊕","Our United Family","120448873031387","1","0","Joseph Biden (33)","$21,136","33","NA","0","$21,136","$0"
"108","⊕","We the People 2020","108103774350322","0.13","0.87","Donald Trump (310), Joseph Biden (46), Mark Kelly* (15), Cal Cunningham* (12), Martha McSally* (12), Thom Tillis* (11), Sara Gideon* (6), Susan Collins* (3)","$165,354","415","PRIORITIES USA, PRIORITIES USA ACTION, PRIORITIES USA ACTION; SENATE MAJORITY PAC","0","$20,782","$144,572"
"109","⊕","Blue Senate","100119981671668","0.37","0.63","Thom Tillis* (55), Donald Trump (51), Susan Collins* (48), Cory Booker* (45), Cory Gardner* (45), Lindsey Graham* (31), Martha McSally* (28), Mitch McConnell* (28), John Hickenlooper* (21), Mark Kelly* (18), Amy McGrath* (12), Cal Cunningham* (9), Jaime R. Harrison* (4)","$54,916","395","BLUE SENATE PAC","0","$20,455","$34,461"
"110","⊕","Michigan AFL-CIO","191199947570555","1","0","Joseph Biden (9)","$20,224","9","MICHIGAN AFL-CIO","0","$20,224","$0"
"111","⊕","Biden Harris for WI","103315431491657","1","0","Joseph Biden (14)","$20,191","14","BIDEN, JOSEPH R JR","1","$20,191","$0"
"112","⊕","Biden Harris for Wisconsin","105059594648138","1","0","Joseph Biden (14)","$19,640","14","BIDEN, JOSEPH R JR","1","$19,640","$0"
"113","⊕","Women Speak Out PAC","442159053368561","0.5","0.5","Donald Trump (8), Joseph Biden (8), Cal Cunningham* (2), Gary Peters* (2), John James* (2), Mark Kelly* (2), Martha McSally* (2), Steve Bullock* (2), Steve Daines* (2), Thom Tillis* (2)","$38,516","32","WOMEN SPEAK OUT PAC","0","$19,258","$19,258"
"114","⊕","Weekly American Lifestyle","107847454354960","1","0","Joseph Biden (8)","$18,509","8","NA","0","$18,509","$0"
"115","⊕","Environment Massachusetts","16066334852","1","0","Edward Markey* (2)","$18,417","2","NA","0","$18,417","$0"
"116","⊕","Women Vote","470241276500901","0.18","0.82","Susan Collins* (51), Donald Trump (8), M.J. Hegar* (8), Eddie Mauro* (3), Theresa Greenfield* (2), Joni Ernst* (1)","$102,590","73","WOMEN VOTE","0","$18,269","$84,321"
"117","⊕","Democratic Majority for Israel","259212814698356","0.67","0.33","Joseph Biden (126), Donald Trump (63), Jaime R. Harrison* (1), Theresa Greenfield* (1)","$27,039","191","DEMOCRATIC MAJORITY FOR ISRAEL","0","$18,073","$8,966"
"118","⊕","Planned Parenthood Advocates of Montana","40561217922","1","0","Steve Bullock* (46)","$18,057","46","PLANNED PARENTHOOD ADVOCATES OF MONTANA","0","$18,057","$0"
"119","⊕","Really American","926650430723985","0.41","0.59","Donald Trump (127), Joseph Biden (89)","$42,535","216","REALLY AMERICAN PAC","0","$17,526","$25,009"
"120","⊕","Jack Reed","1411485062416786","1","0","Jack Reed* (1)","$17,372","1","NA","0","$17,372","$0"
"121","⊕","Speak Up For Education and Kids","112325855474892","0.41","0.59","Donald Trump (1138), Joseph Biden (802), Mitch McConnell* (5), Cory Gardner* (1), Martha McSally* (1), Steve Daines* (1), Susan Collins* (1), Thom Tillis* (1)","$42,049","1,950","NATIONAL EDUCATION ASSN, NATIONAL EDUCATION ASSOCIATION, NEA ADVOCACY FUND","0","$17,338","$24,711"
"122","⊕","A Better Wisconsin Together","106667474170866","0.91","0.09","Joseph Biden (1000), Donald Trump (93), Mitch McConnell* (27)","$18,777","1,120","NA","0","$17,179","$1,598"
"123","⊕","Jon Ossoff","1336293769761923","0.03","0.97","David Perdue* (571), Donald Trump (282), Mitch McConnell* (156), Kelly Loeffler* (25), Mark Kelly* (25)","$489,075","1,059","OSSOFF, T. JONATHAN","1","$16,703","$472,372"
"124","⊕","Senate Majority PAC","133666160060982","0.2","0.8","John James* (68), John Hickenlooper* (23), Cory Gardner* (13), Steve Daines* (7), Cory Booker* (6), David Perdue* (6), Donald Trump (6), Susan Collins* (6), Gary Peters* (2), Doug Collins* (1), Joni Ernst* (1), Mitch McConnell* (1), Theresa Greenfield* (1)","$81,334","141","SENATE MAJORITY PAC","0","$16,651","$64,683"
